Item,Use
4or6packyokes,food-related
"advertisements,signs",large
aerosolcans,commonhouseholditems
agriculturaltarpaulinandpackaging,gardening&farmingrelated
alcoholother,food-related
anchor,marinedebris
potteryorceramic,gardening&farmingrelated
appliances,electronicandelectricwaste
"appliances,bikes,carts",large
autoproducts,vehicledebris
backpacks&bags,clothingandtextiles
bag(grocery),nonfoodrelatedpackaging
bag(trash),nonfoodrelatedpackaging
"bag(zip-lock,produce,other)",nonfoodrelatedpackaging
bagends,nonfoodrelatedpackaging
baggeddogfaeces,medical/hygiene
bags,nonfoodrelatedpackaging
baitcontainers,fishinggear
baitcontainersorcrates,fishinggear
baitcontainersorcratesorlures,fishinggear
baitcontainersorpackaging,fishinggear
"balloon,tennisball,football,dogtoy",entertainmentandtoys
balloons,entertainmentandtoys
balloonsandballoonsticks,entertainmentandtoys
balls,entertainmentandtoys
bandages,medical/hygiene
"bar,pipe,orwire",constructionmaterials
barrels,nonfoodrelatedpackaging
"baskets,crates",nonfoodrelatedpackaging
batteries,electronicandelectricwaste
batteries(acidicandalkaline),electronicandelectricwaste
batteries:carorboat,vehicledebris
"beachuserelatedcosmeticbottlesand.containers,e.g.sunblock",shorelineandrecreationalactivites
beamsordunnage,constructionmaterials
beerbottle,food-related
beercans,food-related
beveragebottles,food-related
beveragecans,food-related
beverageconatiners,food-related
blisterpack,medical/hygiene
boatparts,vehicledebris
bobbins(fishing),fishinggear
"bolts,nails,andscrews",constructionmaterials
books,entertainmentandtoys
boots,clothingandtextiles
bottlecaps,food-related
"bottlecaps,lids&pulltabs",food-related
bottlelabel,nonfoodrelatedpackaging
bottleneckrings,food-related
bottles&jars,nonfoodrelatedpackaging
"bottles,etc.>2l",nonfoodrelatedpackaging
"bottles:bleach,cleaner",nonfoodrelatedpackaging
bottles:oilorlube,vehicledebris
bottles<2l,nonfoodrelatedpackaging
"bricks,cinderblocks,chunksofcement",constructionmaterials
buckets,nonfoodrelatedpackaging
"buckets,drums&jerrycans:2litresormore",nonfoodrelatedpackaging
bulkbags,nonfoodrelatedpackaging
buoys,fishinggear
buoys&floats,fishinggear
cables,constructionmaterials
cableties,nonfoodrelatedpackaging
cans,nonfoodrelatedpackaging
cansortins,nonfoodrelatedpackaging
capsorlids,nonfoodrelatedpackaging
carorboatparts,vehicledebris
cardboard,nonfoodrelatedpackaging
cardboardcartons,nonfoodrelatedpackaging
carparts,vehicledebris
carpet&furnishing,large
carpet(synthetic),large
cartsorparts,vehicledebris
"cd,cd-box",electronicandelectricwaste
chemicalsandchemicalcontainers,nonfoodrelatedpackaging
cigarettebutts,smoking-related
cigarettebuttsandfilters,smoking-related
cigarettefilters,smoking-related
cigarettelighters,smoking-related
cigarettelightersortobaccopouches,smoking-related
cigarettematerials,smoking-related
cigarettepackets,smoking-related
cigarettesorcigartips,smoking-related
cigartips,smoking-related
"cleaner(bottles,containersanddrums)",nonfoodrelatedpackaging
clothfragments,clothingandtextiles
clothing,clothingandtextiles
clothing&shoes,clothingandtextiles
"clothing,hats,gloves&towels",clothingandtextiles
clothingorrags,clothingandtextiles
clothingorshoesorbeachtowels,clothingandtextiles
clothingortowelorgloves,clothingandtextiles
clothingortowelsorglovesorshoes,clothingandtextiles
coffeecup,food-related
coffeecuplid,food-related
coffeeother,food-related
combsorhairbrushes,medical/hygiene
combsorhairbrushesorsunglasses,medical/hygiene
computerequiptment&otherelectronicdevices,electronicandelectricwaste
condoms,medical/hygiene
"constructionmaterial(brick,cement,pipes)",constructionmaterials
containersortubes,nonfoodrelatedpackaging
contraceptives,medical/hygiene
corks,food-related
"cosmetics(bottles&containerse.g.sunlotion,shampoo,showergel,deodorant)",medical/hygiene
cottonbudsticks,medical/hygiene
coverorpackaging,nonfoodrelatedpackaging
craborlobsterorfishtraps,fishinggear
crabtrapinneedofremoval,fishinggear
crabtrapthathasbeenremoved,fishinggear
crates,nonfoodrelatedpackaging
cratesandcontainers,nonfoodrelatedpackaging
cratesandcontainersorbaskets,nonfoodrelatedpackaging
crisporsweetorlollyorsandwichwrappers,food-related
crisplarge,food-related
crisppackets,food-related
crisppacketsorsweetswrappers,food-related
crispsmall,food-related
cups,food-related
cups&plates,food-related
"cups,foodtrays,foodwrappers,drinkcontainers",food-related
"cups,lids,straws",food-related
"cups,plastes,forks,knives,spoons",food-related
"cups,plates,tableware,dishes",food-related
"cups,plates,utensils",food-related
cupsandcuplids,food-related
cutleryortrays,food-related
cutleryortraysorstraws,food-related
cutleryortraysorstrawsorcups,food-related
cylindricalpellets<5mm,microplastics
degradedbag,nonfoodrelatedpackaging
degradedbottle,nonfoodrelatedpackaging
degradedlighters,shorelineandrecreationalactivites
degradedstraws,food-related
dentalflossers,medical/hygiene
deoderant,medical/hygiene
derelicttrapsortrappieces,fishinggear
diapers,medical/hygiene
diapersornappies,medical/hygiene
diskspellets<5mm,microplastics
disposablebbq's,food-related
disposablefood&beverageware,food-related
dogpoop(unbagged),medical/hygiene
dogwastebags,medical/hygiene
drinkbottles<=0.5l,food-related
